               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,           0.0072343,            0.004199,                   0,             0.99098,              0.9888,             0.99475,             0.98773,           0.0031081,           0.0013949,                   0,            0.004786,            0.004786,            0.004786
                  81,           0.0073142,           0.0041636,                   0,             0.99047,             0.98784,             0.99474,             0.98824,           0.0031021,            0.001355,                   0,             0.00472,             0.00472,             0.00472
                  82,           0.0070953,           0.0041082,                   0,             0.98854,             0.99171,             0.99476,             0.98804,            0.003133,           0.0013588,                   0,            0.004654,            0.004654,            0.004654
                  83,           0.0072738,           0.0041139,                   0,             0.98549,              0.9895,             0.99464,             0.98876,            0.002775,            0.001356,                   0,            0.004588,            0.004588,            0.004588
                  84,           0.0069964,           0.0040766,                   0,             0.98282,               0.991,             0.99468,             0.98925,           0.0028166,           0.0013447,                   0,            0.004522,            0.004522,            0.004522
                  85,           0.0071466,           0.0040921,                   0,             0.98577,              0.9905,             0.99471,             0.98907,           0.0027772,           0.0013715,                   0,            0.004456,            0.004456,            0.004456
                  86,           0.0070734,           0.0040552,                   0,             0.98901,             0.98985,             0.99473,              0.9892,           0.0029279,            0.001383,                   0,             0.00439,             0.00439,             0.00439
                  87,           0.0070517,           0.0040632,                   0,             0.99095,             0.98597,             0.99469,             0.98885,           0.0030382,           0.0013795,                   0,            0.004324,            0.004324,            0.004324
                  88,           0.0069195,           0.0040213,                   0,             0.99143,             0.98343,             0.99465,             0.98861,           0.0029286,           0.0013883,                   0,            0.004258,            0.004258,            0.004258
                  89,           0.0068536,            0.004099,                   0,               0.989,             0.98886,             0.99471,             0.98901,           0.0029064,           0.0013922,                   0,            0.004192,            0.004192,            0.004192
                  90,           0.0070087,           0.0039844,                   0,             0.99344,              0.9837,             0.99474,             0.98895,           0.0028425,           0.0014018,                   0,            0.004126,            0.004126,            0.004126
                  91,           0.0069036,            0.004081,                   0,             0.99229,              0.9855,             0.99473,             0.98897,            0.002827,           0.0013919,                   0,             0.00406,             0.00406,             0.00406
                  92,           0.0068248,           0.0039569,                   0,             0.99295,             0.98585,             0.99474,             0.98894,            0.002762,           0.0013601,                   0,            0.003994,            0.003994,            0.003994
                  93,           0.0068616,           0.0040414,                   0,             0.99312,              0.9855,             0.99475,             0.98898,           0.0027297,           0.0013434,                   0,            0.003928,            0.003928,            0.003928
                  94,           0.0067045,           0.0038737,                   0,             0.99394,             0.98468,             0.99478,              0.9889,           0.0026499,           0.0013429,                   0,            0.003862,            0.003862,            0.003862
                  95,           0.0066607,           0.0039611,                   0,             0.99018,               0.988,             0.99475,             0.98895,           0.0026871,            0.001326,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.006452,           0.0039255,                   0,             0.98976,               0.987,             0.99471,             0.98892,           0.0027012,           0.0013351,                   0,             0.00373,             0.00373,             0.00373
                  97,           0.0066578,           0.0039671,                   0,              0.9884,               0.988,             0.99471,             0.98899,           0.0027428,           0.0013305,                   0,            0.003664,            0.003664,            0.003664
                  98,           0.0065418,           0.0038641,                   0,             0.98799,             0.98741,             0.99473,               0.989,            0.002827,           0.0013366,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.006536,           0.0039157,                   0,             0.99045,             0.98486,             0.99472,               0.989,            0.002817,           0.0013392,                   0,            0.003532,            0.003532,            0.003532
                 100,           0.0064362,           0.0038449,                   0,             0.99045,             0.98545,             0.99469,             0.98921,           0.0027381,           0.0013223,                   0,            0.003466,            0.003466,            0.003466
                 101,           0.0063646,            0.003862,                   0,             0.98979,               0.985,              0.9947,              0.9891,           0.0026756,           0.0012954,                   0,              0.0034,              0.0034,              0.0034
                 102,           0.0064852,           0.0038585,                   0,             0.99011,               0.985,             0.99469,             0.98901,           0.0026731,           0.0012994,                   0,            0.003334,            0.003334,            0.003334
                 103,           0.0064567,           0.0038697,                   0,             0.98761,               0.987,             0.99467,             0.98866,           0.0026817,           0.0012912,                   0,            0.003268,            0.003268,            0.003268
                 104,           0.0062813,           0.0037264,                   0,             0.98849,             0.98722,             0.99472,             0.98887,           0.0027191,           0.0012942,                   0,            0.003202,            0.003202,            0.003202
                 105,           0.0064684,           0.0038408,                   0,             0.98889,               0.989,              0.9947,             0.98907,           0.0026416,           0.0012751,                   0,            0.003136,            0.003136,            0.003136
                 106,           0.0064717,           0.0037306,                   0,             0.98948,             0.98783,             0.99474,             0.98921,           0.0026421,           0.0012766,                   0,             0.00307,             0.00307,             0.00307
                 107,           0.0062666,           0.0037385,                   0,             0.98911,              0.9865,             0.99472,             0.98917,           0.0027018,           0.0012744,                   0,            0.003004,            0.003004,            0.003004
                 108,           0.0062099,           0.0036903,                   0,             0.98751,             0.98837,              0.9947,             0.98936,           0.0026753,           0.0012851,                   0,            0.002938,            0.002938,            0.002938
                 109,           0.0060754,           0.0037445,                   0,             0.98903,              0.9865,             0.99474,             0.98913,           0.0026171,           0.0012868,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.006115,           0.0037108,                   0,             0.98982,              0.9875,             0.99474,             0.98947,             0.00263,            0.001277,                   0,            0.002806,            0.002806,            0.002806
                 111,           0.0059736,           0.0036942,                   0,             0.98887,              0.9875,             0.99475,             0.98942,           0.0026266,           0.0012854,                   0,             0.00274,             0.00274,             0.00274
